Net,Temperature
32271.763,5.4
32337.58,5.3
32105.624,4.8
31536.053,3.8
30498.362,2.5
29435.152,1.0
28522.189,0.3
28037.757,0.0
27867.666,-0.6
27959.289,-1.2
28348.321,-1.6
29161.495,-2.0
30328.479,-2.5
30698.093,-2.8
29529.314,-3.0
27894.308,-3.3
27260.078,-4.1
28001.254,-4.6
29590.737,-4.0
30027.261,-2.9
29499.221,-1.5
29450.286,-0.5
31347.947000000004,0.7
33395.887,1.5
34272.815,1.2
33974.147000000004,0.7
33410.265,0.9
32296.19,0.1
30849.767,-0.5
29353.072,-1.4
28233.201,-1.2
27598.949,-0.9
27242.042,-0.5
27285.865,-0.4
27858.236,-0.4
29318.901,-0.6
31420.289,-1.4
32713.486,-1.7
33060.257,-1.5
33070.867999999995,-1.5
32479.852000000003,-1.3
31814.821,-0.9
31713.387999999995,-0.8
31591.973999999995,-0.6
31463.287,-0.8
32233.693,-0.7
33805.128,-0.4
35913.955,-0.2
37275.114,0.2
37055.011,0.4
36349.321,0.5
34983.397000000004,0.4
33019.086,0.4
31265.128,0.4
30177.517000000003,-0.1
29722.094,-1.1
29653.492,-2.4
30006.261,-3.4
31147.054,-4.2
33550.852000000006,-4.9
37012.075,-5.8
37750.014,-6.5
35410.871,-6.9
33102.661,-7.4
31544.533000000003,-7.7
30532.344,-8.0
29909.865,-7.2
29874.003,-5.9
30236.446,-4.3
31522.152,-2.6
33756.224,-1.4
36281.445,-0.5
37800.006,0.1
37623.134,0.3
36940.378,0.1
35554.434,-0.6
33542.441000000006,-1.7
31745.892,-2.5
30356.484,-2.9
29705.472,-3.3
29403.691,-3.9
29486.33,-4.6
30200.58,-5.4
32060.25,-6.0
34616.574,-6.5
36250.017,-6.8
37180.633,-7.0
37845.783,-7.3
38660.418,-7.4
39057.067,-7.5
38833.089,-6.9
38367.262,-5.6
37863.797000000006,-4.4
37614.921,-3.7
37968.256,-3.3
39181.64000000001,-2.9
39572.58,-2.4
38626.71,-2.1
37426.026,-2.3
35536.251000000004,-2.2
33266.125,-2.5
31340.363,-2.4
29916.546,-2.7
29096.747,-2.6
28800.442000000003,-2.1
28854.484,-1.8
29607.975,-1.2
31528.634,-0.2
34411.357,0.2
35742.886,0.8
35573.769,1.8
33890.858,2.7
31700.452,2.3
30044.858,1.2
28722.292,0.7
27822.885,0.9
27556.931,1.8
28047.712000000003,2.8
29844.246,3.8
32252.426,5.6
33916.482,7.7
33763.130000000005,8.2
33136.593,7.6
31858.094,7.6
29789.553,5.5
27981.01,2.3
26601.041,3.8
25952.156,1.5
25640.302000000003,2.3
25707.804,1.6
26504.746,0.5
28582.038,0.9
31751.877000000004,0.5
33007.296,0.9
32370.119,0.8
31407.983,1.3
30977.799,1.0
30787.875,0.0
30086.259,1.3
29939.052000000003,3.2
30042.881,4.3
30410.047999999995,5.0
31524.723,5.9
33069.465000000004,6.5
34016.447,6.9
33598.834,7.0
32940.14,6.9
31979.185,6.0
30443.348,4.2
28944.157,1.7
27697.568,0.9
27044.122000000003,1.4
26756.352000000003,0.5
26703.462000000003,-0.7
26989.31,-0.7
27930.808,-1.2
29238.122,-1.1
30104.186,-1.0
30776.674,-1.3
31003.852,-2.0
30801.543,-2.8
30508.208,-3.6
30361.551000000003,-2.3
30273.673,-0.5
30406.757,0.5
30778.984,1.8
31491.894,3.0
32744.566000000003,4.1
33380.732,4.5
32998.882999999994,4.1
32423.281,3.5
31456.838,2.6
30112.448,1.7
28676.507,0.8
27406.292,0.5
26617.941,0.2
26150.386,-0.1
25949.077,0.1
26033.065,0.6
26543.423,1.5
27399.372,2.6
28220.668,2.9
29380.783,3.0
30223.087,3.1
30166.315,3.2
29902.025,3.2
29991.306,3.4
29554.854,3.6
29078.303,4.2
28900.752,5.4
29087.488,6.3
30603.893,8.3
32325.503,8.1
32414.003,7.0
31950.179,6.5
30945.127,6.2
29478.946,5.9
28067.709,5.7
27094.224,5.7
26667.977,6.1
26712.635,6.4
27100.523,6.2
28313.425,6.0
30725.689,5.5
34088.705,5.1
34906.993,4.6
33107.789,4.0
31439.92,3.5
30384.531000000003,3.0
29654.015,2.2
29074.009,2.3
28746.219,2.6
28691.939,2.9
29426.056,2.4
31657.575000000004,2.0
34705.542,1.9
37004.74,2.0
37121.151,2.6
36508.203,2.5
35141.412000000004,1.6
33089.384,0.4
31304.494,-0.5
30052.764,-1.0
29489.864,-1.3
29425.695,-1.7
29732.344,-1.9
30634.485,-2.4
32885.983,-2.7
36128.638,-3.1
36536.136000000006,-3.4
34054.22,-3.7
31775.358,-3.9
30293.545,-4.3
29270.707999999995,-4.7
28691.015,-4.0
28494.291,-3.4
28910.323,-2.7
30205.947000000004,-2.3
32272.342,-1.6
34674.14399999999,-1.2
36449.171,-1.0
36583.042,-0.9
35966.987,-1.1
34686.307,-2.0
32668.186,-3.3
30891.659,-4.5
29788.444,-5.3
29323.503,-6.0
29286.896,-6.6
29613.323,-7.0
30638.003,-7.4
32961.399999999994,-7.7
36271.723,-7.9
37141.773,-7.8
35636.706,-8.2
34441.942,-8.6
33248.0,-8.4
32215.365000000005,-8.6
32072.265,-8.4
32624.358,-7.9
33073.483,-7.1
33463.543000000005,-6.0
34921.154,-4.8
36420.931,-4.1
37550.477000000006,-3.8
37241.153,-3.8
36362.207,-4.1
